season,team,wins,games,points_for,points_against,win_pct,point_diff
2022,BAL,14,17,478,266,0.8235294117647058,212
2022,BUF,12,17,418,308,0.7058823529411765,110
2022,CHI,14,17,405,254,0.8235294117647058,151
2022,CIN,4,17,361,432,0.23529411764705882,-71
2022,DAL,9,17,326,327,0.5294117647058824,-1
2022,DET,1,17,215,479,0.058823529411764705,-264
2022,GB,1,17,222,478,0.058823529411764705,-256
2022,KC,16,17,499,240,0.9411764705882353,259
2022,MIA,3,17,253,422,0.17647058823529413,-169
2022,MIN,0,17,165,508,0.0,-343
2022,PHI,7,17,344,378,0.4117647058823529,-34
2022,SF,8,17,341,402,0.47058823529411764,-61
2023,BAL,13,17,465,316,0.7647058823529411,149
2023,BUF,9,17,366,331,0.5294117647058824,35
2023,CHI,16,17,540,248,0.9411764705882353,292
2023,CIN,13,17,413,336,0.7647058823529411,77
2023,DAL,8,17,393,398,0.47058823529411764,-5
2023,DET,3,17,315,398,0.17647058823529413,-83
2023,GB,13,17,450,362,0.7647058823529411,88
2023,KC,10,17,407,368,0.5882352941176471,39
2023,MIA,8,17,390,411,0.47058823529411764,-21
2023,MIN,9,17,390,336,0.5294117647058824,54
2023,PHI,17,17,537,236,1.0,301
2023,SF,6,17,303,395,0.35294117647058826,-92
2024,BAL,0,17,209,511,0.0,-302
2024,BUF,12,17,439,354,0.7058823529411765,85
2024,CHI,6,17,326,371,0.35294117647058826,-45
2024,CIN,11,17,364,343,0.6470588235294118,21
2024,DAL,9,17,386,388,0.5294117647058824,-2
2024,DET,7,17,379,416,0.4117647058823529,-37
2024,GB,13,17,476,329,0.7647058823529411,147
2024,KC,13,17,470,350,0.7647058823529411,120
2024,MIA,4,17,304,424,0.23529411764705882,-120
2024,MIN,16,17,489,259,0.9411764705882353,230
2024,PHI,15,17,461,289,0.8823529411764706,172
2024,SF,4,17,324,414,0.23529411764705882,-90
