season,team_id,top8_points,avg_weekly_points,weekly_std,top8_peak,depth_score,championship_contender,contender_score
2022,32,1208.268742140162,82.06661250119161,8.0,416.7388910762463,0.8208264195233037,1,0.9075
2023,63,1415.0803135072283,101.35354522581866,11.464298806641894,447.27841937240015,0.9262554003659832,1,0.9075
2024,15,1294.3271704265928,95.0223226924562,13.610124516807518,483.6020951924478,0.8153918703498753,1,0.905
2023,131,1702.9120904632732,119.0819663226765,15.878712646990156,484.7050430031204,0.98,1,0.9025
2023,68,1456.4360785592785,102.9570984042966,11.354782271875862,564.2208719366855,0.8028125309716815,1,0.885
2022,226,1254.5002513670847,86.39076174765404,8.066764408235752,499.25642005254736,0.8104626083920419,1,0.88
2024,146,1080.041100612577,72.63828253277568,10.121316747634973,471.49081646998616,0.8139070590858191,1,0.875
2024,50,1249.2911738990554,91.72364097600476,11.154627155942254,389.8062393232343,0.7081864797230544,1,0.8675
2023,194,1259.0356022073238,91.60071477163406,14.997475688614829,434.1942533776657,0.8939213761483564,1,0.8675
2024,179,1233.278918143678,86.47503734312376,16.252229036304136,423.65213230602734,0.8129393644638445,1,0.8575
2023,193,1391.934140015985,100.57898095696724,19.031213946779893,503.13440749047845,0.9044358784701172,1,0.85
2022,118,1062.2536407877967,74.85748460461915,15.272872607166954,515.9378692029892,0.9552581520939633,1,0.85
2024,225,1192.966043181864,84.33052346681961,15.703363898125705,388.0470199042694,0.7937124526028476,1,0.84
2024,191,1284.8779435577871,93.89754489111051,16.340582420893703,419.6756919442958,0.7980298806694037,1,0.8375
2023,159,1042.6497022549418,76.47995678681983,17.63319681752698,473.67760102489706,0.7231902409591318,1,0.8325
2022,69,1212.9821986999432,89.05234067956032,12.074733285434576,404.21979855403305,0.776770463763297,1,0.8325
2023,31,1371.876441541776,98.8199969338268,16.675311579900537,379.05881055469,0.8764278081369705,1,0.8225
2022,58,1211.0658251899815,87.09807204510994,27.55520211032983,493.45377273803854,0.8746133099181903,1,0.815
2024,101,1152.188977735018,83.29842381321319,17.67875107323259,485.8202625418512,0.7639451517340725,1,0.815
2022,18,997.1957653826424,78.21122825694128,14.738922797915826,420.97896553057046,0.867155154677874,1,0.8125
2022,111,1026.4161968994124,76.6334227453942,23.2277110741536,446.8020015469535,0.7935558456569518,1,0.805
2023,162,1227.2948605264849,92.55072945190662,28.540364993632423,477.6627192313328,0.9062256144146986,1,0.8025
2024,59,1464.2364261538785,107.85596864398084,18.047622017081743,372.67878860230417,0.7274045560860442,1,0.7975
2022,142,932.5187544934032,62.12329997313291,8.0,451.06688965681735,0.8789946815257956,1,0.795
2022,78,1018.9491365879512,70.96707904642746,27.79480498048344,501.02554306147937,0.7332735747094413,1,0.795
2024,227,1470.9177426972174,107.2087424976932,10.105238774059908,374.8943015850884,0.6898676894355704,1,0.785
